Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45032,Mansfield Park,Jane Austen,"Austen, Jane","Charles Edmund Brock, Kathryn Sutherland",,,3,Penguin Books,Paperback,488,2003,1814,1/13/2026,12/17/2025,,,read,,,,1,0
2156,Persuasion,Jane Austen,"Austen, Jane","Deidre Shauna Lynch, James Kinsley",0192802631,9780192802637,5,Oxford University Press,Paperback,249,2004,1817,2/2/2026,1/23/2026,,,read,,,,1,0
211399783,"The Thinking Machine: Jensen Huang, Nvidia, and the World's Most Coveted Microchip",Stephen   Witt,"Witt, Stephen",,0593832698,9780593832691,5,Viking,Hardcover,272,2025,2025,2/15/2026,2/2/2026,,,read,,,,1,0
848514,Critical Chain,Eliyahu M. Goldratt,"Goldratt, Eliyahu M.",,0884271536,9780884271536,5,The North River Press,Paperback,246,2002,1997,3/6/2026,12/9/2025,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,0765326353,9780765326355,5,Tor Books,Hardcover,1007,2010,2010,3/28/2026,3/26/2025,,,read,,,,1,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765326361,9780765326362,5,Tor Books,Hardcover,1088,2014,2014,4/16/2026,3/28/2026,,,read,,,,1,0
13425638,It Worked for Me: In Life and Leadership,Colin Powell,"Powell, Colin",Tony Koltz,0062135147,9780062135148,5,Harper,ebook,304,2012,2012,4/18/2026,4/17/2026,,,read,,,,1,0
112974860,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David  Brooks,"Brooks, David",,059323006X,9780593230084,5,Random House,Kindle Edition,306,2023,2023,4/20/2026,4/11/2025,,,read,,,,1,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,,,5,Tor Books,Hardcover,1248,2017,2017,5/15/2026,4/30/2026,,,read,,,,1,0
6667514,The Checklist Manifesto: How to Get Things Right,Atul Gawande,"Gawande, Atul",,0805091742,9780805091748,5,Metropolitan Books,Hardcover,208,2009,2009,5/22/2026,2/17/2026,,,read,,,,1,0
2715,Salt: A World History,Mark Kurlansky,"Kurlansky, Mark",,0142001619,9780142001615,5,Penguin Books,Paperback,484,2003,2002,6/3/2026,10/19/2025,,,read,,,,1,0
61918856,Assyria: The Rise and Fall of the World’s First Empire,Eckart Frahm,"Frahm, Eckart",,1541674405,9781541674400,3,Basic Books,Hardcover,528,2023,2023,6/3/2026,2/14/2026,,,read,,,,1,0
38390751,The Infinite Game,Simon Sinek,"Sinek, Simon",,073521350X,9780735213500,5,Portfolio,Hardcover,251,2019,2017,6/9/2026,2/27/2026,,,read,,,,1,0
34703445,"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,"Sanderson, Brandon",,1250166543,9781250166548,5,Tor Books,Hardcover,272,2017,2016,7/3/2026,7/1/2026,,,read,,,,1,0
124950497,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor  García,"García, Héctor",Francesc Miralles,,,3,,Unknown Binding,208,2017,2016,7/19/2026,7/19/2026,,,read,,,,1,0
101160707,"The Mysterious Case of Rudolf Diesel: Genius, Power, and Deception on the Eve of World War I",Douglas Brunt,"Brunt, Douglas",,1982169907,9781982169909,4,Atria Books,Kindle Edition,384,2023,2023,7/19/2026,4/30/2026,,,read,,,,1,0
222376657,The History of Money: A Story of Humanity,David McWilliams,"McWilliams, David",Michael Lewis,1250408180,9781250408181,5,Henry Holt and Co.,Hardcover,416,2025,2024,8/8/2026,2/14/2026,,,read,,,,1,0
54860184,"A Brief History of Motion: From the Wheel, to the Car, to What Comes Next",Tom Standage,"Standage, Tom",,1635573610,9781635573619,5,Bloomsbury Publishing,Hardcover,272,2021,2021,8/12/2026,6/3/2026,,,read,,,,1,0
45733318,What It Takes: Lessons in the Pursuit of Excellence,Stephen A. Schwarzman,"Schwarzman, Stephen A.",,1508279144,9781508279143,5,Simon & Schuster Audio,Audio CD,400,2019,2019,8/12/2026,7/2/2026,,,read,,,,1,0
101025305,Romney: A Reckoning,McKay Coppins,"Coppins, McKay",,1982196238,9781982196233,5,Scribner,ebook,416,2023,2023,8/22/2026,8/12/2026,,,read,,,,1,0
125063314,Be Useful: Seven Tools for Life,Arnold Schwarzenegger,"Schwarzenegger, Arnold",,0593655958,9780593655955,5,Penguin Press,Hardcover,288,2023,2023,9/5/2026,9/3/2026,,,read,,,,1,0
944652,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.",Peter E. Kaufman,157864366X,9781578643660,5,Donning Co Pub,Hardcover,512,2006,2005,9/12/2026,9/13/2025,,,read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,,,5,New American Library,Mass Market Paperback,328,1950,1949,,8/11/2018,,,read,,,,2,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,1441341706,9781441341709,5,Modern Library,Paperback,279,2023,1813,,8/11/2018,,,read,,,,2,0
57007687,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,"Gladwell, Malcolm",,0316309850,9780316309851,2,"Little, Brown and Company",Hardcover,320,2021,2021,,4/29/2024,,,read,,,,2,0
2054761,The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,"Schroeder, Alice",,0553805096,9780553805093,0,Bantam Books,Hardcover,960,2008,2008,,10/6/2024,,,read,,,,1,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Per Svein Paulsen, Tormod Haugen",,,0,HarperCollins Publishers,Paperback,206,2005,1950,,5/11/2022,,,read,,,,1,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,0062407805,9780062407801,0,Harper Business,Hardcover,274,2016,2016,,11/5/2021,,,read,,,,1,0
3023,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,"Sowell, Thomas",,0465081452,9780465081455,0,Basic Books,Hardcover,448,2003,2000,,11/5/2021,,,read,,,,1,0
54860451,"Be Where Your Feet Are: Seven Principles to Keep You Present, Grounded, and Thriving",Scott M. O'Neil,"O'Neil, Scott M.",,1250769876,9781250769879,0,St. Martin's Essentials,Hardcover,272,2021,,,11/5/2021,,,read,,,,1,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,0804137382,9780804137386,0,Crown Currency,Hardcover,260,2014,2011,,12/31/2020,,,read,,,,1,0
39863447,"Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",Safi Bahcall,"Bahcall, Safi",,1250185963,9781250185969,0,St. Martin's Press,Hardcover,368,2019,2019,,12/31/2020,,,read,,,,1,0
42389,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,"Ambrose, Stephen E.",,0743464117,9780743464116,0,Simon & Schuster,Paperback,432,2002,1992,,3/24/2019,,,read,,,,1,0
10883,Benjamin Franklin: An American Life,Walter Isaacson,"Isaacson, Walter",,074325807X,9780743258074,5,Simon & Schuster,Paperback,586,2004,2003,,9/19/2019,,,read,,,,1,0
18929854,All Creatures Great and Small (All Creatures Great and Small #1-2),James Herriot,"Herriot, James",,1250057833,9781250057839,0,Griffin,Paperback,442,2014,1970,,8/11/2018,,,read,,,,1,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,0670532576,9780670532575,0,Puffin Books (US/CAN),Mass Market Paperback,208,1997,1967,,8/11/2018,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin",,,0,Houghton Mifflin,Paperback,366,2002,1937,,8/11/2018,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht",,,0,Plume,Paperback,129,2003,1945,,8/11/2018,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,0,Arthur A. Levine Books,Hardcover,759,2007,2007,,8/11/2018,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,0,Scholastic Inc,Paperback,652,2006,2005,,8/11/2018,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439686520,9780439686525,0,Scholastic Inc.,Paperback,576,2004,2003,,8/11/2018,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439139597,9780439139595,0,Scholastic,Paperback,734,2002,2000,,8/11/2018,,,read,,,,1,0
